1182066756,1074594224,32654,32364,9,'Slime',18467,111549119
1182066760,1074593107,32654,32363,9,'Slime',6334,111363770
1182066764,1074264790,32671,32375,7,'Snake',26500,110681460
1182066767,1074592922,32660,32375,7,'Wolf',19169,111555826
1182066767,1074593107,32657,32363,9,'Slime',15724,111504642
1182066767,1074592797,32658,32375,7,'Orc Rider',11478,111440141
1182066767,1074592922,32660,32375,7,'Wolf',29358,111708661
1182066767,1074594224,32660,32364,9,'Slime',26962,111676585
1182066767,1074592797,32658,32375,7,'Orc Rider',24464,111634931
1182066769,1074592884,32653,32375,7,'Snake',5705,111353732
1182066770,1074594224,32661,32362,9,'Slime',28145,111694324
1182066770,1074593107,32658,32362,9,'Slime',23281,111617998
1182066770,1074592884,32653,32375,7,'Snake',16827,111520563
1182066771,1074592706,32655,32375,7,'War Wolf',9961,111417089
1182066771,1074593107,32659,32362,9,'Slime',491,111276154
1182066773,1074553268,32673,32375,7,'War Wolf',2995,111194377
1182066775,1074593483,32672,32376,8,'Bandit',11942,111449216
1182066775,1074264790,32672,32372,7,'Snake',4827,110356360
1182066775,1074553268,32673,32374,7,'War Wolf',5436,111230987
1182066775,1074594080,32681,32377,8,'Wild Warrior',32391,111757872
1182066775,1074264790,32672,32372,7,'Snake',14604,110503015
1182066775,1074269168,32681,32379,7,'Wolf',3902,110355700
1182066775,1074594080,32681,32377,8,'Wild Warrior',153,111274302
1182066776,1074593483,32672,32374,8,'Bandit',292,111274453
1182066776,1074269168,32680,32379,7,'Wolf',12382,110482896
1182066776,1074592335,32681,32379,8,'Wild Warrior',17421,111528102
1182066776,1074593483,32671,32374,8,'Bandit',18716,111550808
1182066776,1074264790,32671,32372,7,'Snake',19718,110579721
1182066776,1074592335,32681,32379,8,'Wild Warrior',19895,111565212
1182066776,1074489025,32675,32380,8,'Bat',5447,111038422
1182066777,1074264790,32671,32372,7,'Snake',21726,110609842
1182066777,1074269168,32680,32379,7,'Wolf',14771,110518732
1182066777,1074489025,32675,32380,8,'Bat',11538,111129788
1182066778,1074553268,32673,32374,7,'War Wolf',1869,111177485
1182066778,1074269168,32681,32378,7,'Wolf',19912,110595846
1182066795,1074226790,32683,32380,7,'Deer',25667,110555078
1182066795,1074553268,32673,32376,7,'War Wolf',26299,111543966
1182066795,1074269025,32683,32385,7,'Orc Rider',17035,110552403
1182066796,1074226790,32683,32381,7,'Deer',9894,110318491
1182066796,1074489025,32675,32375,8,'Bat',28703,111387247
1182066808,1074264790,32673,32376,7,'Snake',23811,110641186
1182066809,1074269168,32678,32377,7,'Wolf',31322,110767005
1182066820,1074594080,32687,32374,8,'Wild Warrior',30333,111727056
1182066822,1073803155,32693,32366,7,'Poison Spider',17673,109164359
1182066822,1074555080,32693,32374,7,'Wolf',4664,111224938
1182066824,1074521978,32694,32378,7,'Wolf',15141,111282822
1182066825,1074585530,32693,32379,7,'Wolf',7711,111362031
1182066828,1074302263,32687,32381,7,'Bat',28253,110820334
1182066829,1074224559,32693,32382,7,'Deer',6868,110266498
1182066829,1074592335,32687,32381,8,'Wild Warrior',25547,111650089
1182066830,1074269025,32684,32383,7,'Orc Rider',27644,110711564
1182066830,1074224559,32693,32383,7,'Deer',32662,110653416
1182066831,1074555080,32694,32376,7,'Wolf',32757,111646361
1182066832,1074269025,32685,32382,7,'Orc Rider',20037,110597459
1182066832,1074302263,32686,32382,7,'Bat',12859,110589430
1182066832,1074555080,32693,32376,7,'Wolf',8723,111285847
1182066836,1074226790,32677,32375,7,'Deer',9741,110316164
1182066839,1074585530,32695,32379,7,'Wolf',27529,111659325
1182066839,1074302263,32685,32382,7,'Bat',778,110408217
1182066840,1074224559,32690,32381,7,'Deer',12316,110348207
1182066840,1074585530,32694,32379,7,'Wolf',3035,111291911
1182066841,1074521978,32695,32378,7,'Wolf',22190,111388579
1182066842,1074269168,32677,32377,7,'Wolf',1842,110324833
1182066845,1074553268,32673,32370,7,'War Wolf',288,111153809
1182066850,1074589005,32659,32369,8,'Centipede',30106,111708242
1182066851,1074594729,32658,32368,8,'Wild Warrior',9040,111409452
1182066851,1074553268,32672,32367,7,'War Wolf',8942,111283599
1182066851,1074594709,32656,32369,7,'Wolf',19264,111562634
1182066852,1074592884,32655,32375,7,'Snake',22648,111607970
1182066852,1074594729,32660,32368,8,'Wild Warrior',27446,111685553
1182066852,1074594709,32656,32368,7,'Wolf',23805,111630743
1182066852,1074593256,32655,32365,8,'Bat',15890,111507631
1182066852,1074589005,32662,32369,8,'Centipede',6729,111357604
1182066852,1074594729,32660,32368,8,'Wild Warrior',24370,111639413
1182066852,1074593256,32655,32365,8,'Bat',15350,111499531
1182066853,1074592922,32657,32375,7,'Wolf',15006,111493452
1182066853,1074592884,32654,32375,7,'Snake',31101,111734761
1182066853,1074594729,32660,32366,8,'Wild Warrior',24393,111639745
1182066854,1074592922,32656,32375,7,'Wolf',3548,111321578
1182066854,1074589005,32662,32367,8,'Centipede',19629,111551092
1182066854,1074594729,32660,32366,8,'Wild Warrior',12623,111463196
1182066855,1074592706,32650,32371,7,'War Wolf',24084,111628965
1182066855,1074589005,32660,32367,8,'Centipede',19954,111555958
1182066855,1074594621,32651,32369,7,'Orc Rider',18756,111554794
1182066855,1074592706,32650,32372,7,'War Wolf',11840,111445312
1182066855,1074594709,32654,32368,7,'Wolf',4966,111348151
1182066855,1074594621,32650,32369,7,'Orc Rider',7376,111384089
1182066856,1074594729,32658,32367,8,'Wild Warrior',13931,111482815
1182066856,1074594709,32654,32368,7,'Wolf',26308,111668282
1182066857,1074566438,32644,32367,7,'Poison Spider',16944,111443070
1182066857,1074594729,32655,32367,8,'Wild Warrior',32439,111760421
1182066858,1074592706,32651,32371,7,'War Wolf',24626,111637103
1182066872,1074595222,32647,32369,9,'Slime',11323,111445069
1182066872,1074592922,32658,32371,7,'Wolf',5537,111351413
1182066873,1074592706,32652,32375,7,'War Wolf',21538,111590831
1182066873,1074594709,32651,32370,7,'Wolf',16118,111515448
1182066873,1074566438,32645,32368,7,'Poison Spider',2082,111220168
1182066873,1074592922,32658,32370,7,'Wolf',22929,111612287
1182066873,1074569776,32643,32368,7,'Slime',16541,111446953
1182066873,1074594709,32651,32369,7,'Wolf',4833,111346166
1182066873,1074548798,32642,32364,7,'Poison Spider',31115,111602700
