1177951835,41,'Wolf',-1,5968,0,1,-760997634
1177951835,41,'Wolf',0,3492,1,1,761044650
1177951838,18467,'Wolf',-1,5968,0,1,-760684383
1177951925,41,'Bat',-1,6053,0,0,-760995823
1177951967,18467,'Wolf',-1,5968,0,0,-760684067
1177952140,15724,'Wolf',-1,5968,0,0,-760730179
1177952146,11478,'Wolf',-1,5968,0,0,-760802343
1177952146,11478,'Wolf',0,3577,1,0,760847744
1177952153,29358,'Wolf',-1,5968,0,0,-760498362
1177952153,29358,'Wolf',0,3492,1,0,760545378
1177952200,26962,'Wolf',-1,5968,0,0,-760538953
1177952211,24464,'Wolf',-1,5968,0,0,-760581386
1177952259,5705,'Wolf',-1,5968,0,0,-760900145
1177952259,5705,'Wolf',0,3577,1,0,760945546
1177952272,28145,'Troll',-1,5960,0,0,-760518775
1177952272,28145,'Troll',0,3003,1,0,760574930
1177952272,28145,'Troll',1,3031,1,0,760574383
1177952284,23281,'Troll',-1,5960,0,0,-760601427
1177952284,23281,'Troll',0,2853,1,0,760660432
1177953422,41,'Troll',-1,5960,0,0,-760993093
1177953422,41,'Troll',0,3031,6,0,761048651
1177953437,18467,'Troll',-1,5960,0,0,-760679806
1177953437,18467,'Troll',0,3031,2,0,760735416
1177953437,18467,'Troll',1,3355,1,0,760729258
1177953453,6334,'Troll',-1,5960,0,0,-760886019
1177953453,6334,'Troll',0,3031,6,0,760941577
1177953469,26500,'Wolf',-1,5968,0,0,-760543000
1177953518,19169,'Bat',-1,6053,0,0,-760665868
1177953529,15724,'Bat',-1,6053,0,0,-760724400
1177953588,11478,'Poison Spider',-1,5974,0,0,-760797876
1177953604,26962,'Poison Spider',-1,5974,0,0,-760534600
1177953624,24464,'Poison Spider',-1,5974,0,0,-760577006
1177953902,491,'Wolf',-1,5968,0,0,-760983854
1177953902,491,'Wolf',0,3577,2,0,761029242
1177953910,2995,'Wolf',-1,5968,0,0,-760941262
1177953913,11942,'Wolf',-1,5968,0,0,-760789154
1177953917,4827,'Wolf',-1,5968,0,0,-760910097
1177953917,4827,'Wolf',0,3492,1,0,760957113
1177953935,5436,'Wolf',-1,5968,0,0,-760899690
1177953942,32391,'Wolf',-1,5968,0,0,-760441434
1177953942,32391,'Wolf',0,3577,1,0,760486835
1177953992,14604,'Wolf',-1,5968,0,0,-760743663
1177954015,3902,'Troll',-1,5960,0,0,-760925677
1177954015,3902,'Troll',0,3577,1,0,760970926
